F1,Precision,Recall,Team,Comment
0.77267,0.7833,0.76232,anton164,
0.75357,0.77932,0.72947,azhuologist,
0.75251,0.79768,0.71219,ry275,
0.75194,0.79748,0.71132,shixiyue,
0.74753,0.7783,0.7191,Runefeather,
0.74416,0.79086,0.70268,hcui11,
0.7425,0.77045,0.71651,Florassss,
0.73834,0.7596,0.71824,chaosfengz,
0.73411,0.79259,0.68366,colinpgladue,
0.7323,0.73167,0.73293,noah-rush,
0.72944,0.74661,0.71305,singhaniasnigdha,
0.72432,0.75635,0.6949,ArielJiang0520,
0.71508,0.77497,0.66379,el535,
0.6928,0.73288,0.65687,CassiniXu,
0.68412,0.71577,0.65514,Yifeng97,
0.68112,0.71334,0.65169,ronykrell,
0.67857,0.72152,0.64045,viannegao,
0.67377,0.76568,0.60156,hgimonet,
0.67343,0.68801,0.65946,nayaknishant,
0.66515,0.70435,0.63008,rashmi59,
0.65424,0.70981,0.60674,Sprinkle612,
0.64519,0.69869,0.59931,samuel920119920119samuel,
0.63221,0.67822,0.59205,RhiannaSun,
0.61494,0.69499,0.55143,jackieong,
0.61098,0.66838,0.56266,karanY2019,
0.60923,0.66908,0.5592,LaMemeBete,
0.6077,0.64683,0.57303,drywitte,
0.60543,0.63533,0.57822,daixingy,
0.58399,0.68166,0.5108,jssrob,
0.5793,0.65752,0.51772,sh2439,
0.57349,0.64815,0.51426,sztangcy,
0.54267,0.66375,0.45895,hy522,
0.53843,0.58384,0.49957,ering0427,
0.48522,0.5308,0.44685,cherrypint,
0.4441,0.55355,0.37079,yujies1218,
0.44326,0.50219,0.39672,MCLYang,
0.41928,0.44242,0.39844,andrew-zhm,
0.38214,0.32562,0.4624,dam372,
0.37941,0.61673,0.27398,haomiao-han,
0.36485,0.40768,0.33016,bt358,
0.33192,0.42721,0.27139,adityasinha379,
0.25371,0.44662,0.17718,yiminggu-21,
0.23485,0.4356,0.16076,moonorblue,
0.22532,0.4208,0.15385,tjh264,
0.19621,0.2763,0.15212,arvens1990,
0.11059,0.062,0.51167,yinuoying,
0.01433,0.00791,0.07606,ccorbin17,
0.0,0.0,0.0,Xiaoyis2,
0.0,0.0,0.0,TianyunZ,
,,,hangyulin,Error parsing file!
